submodel,outcome,species,predictor,estimate,std_dev,lower95,upper95
dens,nbartbhost,NA,treatbs,-0.491207786,0.197578739,-0.812524561,-0.161989141
dens,nbartbhost,NA,treatuc,0.015673363,0.166805653,-0.264756822,0.28388165
dens,nbartbhost,NA,treatun,0.031523867,0.167557083,-0.244749527,0.296187433
dens,nbartbhost,NA,treatus,-0.061345338,0.171986418,-0.342282869,0.214675154
dens,nbartbother,NA,treatbc,-0.371900631,0.093076349,-0.521244103,-0.218581532
dens,nbartbother,NA,treatbn,0.330990118,0.090668332,0.185687148,0.481165769
dens,nbartbother,NA,treatbs,-1.081478001,0.109392368,-1.254712361,-0.905592215
dens,nbartbother,NA,treatuc,-0.087348096,0.092671626,-0.236310586,0.068593331
dens,nbartbother,NA,treatun,0.325517786,0.094077198,0.168943873,0.481222466
dens,nbartbother,NA,treatus,-0.799365662,0.092348867,-0.950798564,-0.649328245
dens,nbampbhost,NA,treatbc,-0.564338852,0.181417323,-0.856017286,-0.269703822
dens,nbampbhost,NA,treatbn,0.185590607,0.183321252,-0.109123316,0.474430067
dens,nbampbhost,NA,treatbs,-0.539677886,0.205939964,-0.876284491,-0.205441685
dens,nbampbhost,NA,treatuc,0.11629744,0.173427017,-0.168580153,0.389454401
dens,nbampbhost,NA,treatun,0.025345278,0.174907347,-0.262146702,0.304904714
dens,nbampbhost,NA,treatus,-0.072058067,0.181523056,-0.36990173,0.226619626
dens,nbampbother,NA,treatbc,-0.338605508,0.091649364,-0.489891994,-0.188455212
dens,nbampbother,NA,treatbn,0.290750978,0.090153948,0.141945571,0.438729374
dens,nbampbother,NA,treatbs,-1.090818307,0.104797393,-1.259686521,-0.920575415
dens,nbampbother,NA,treatuc,-0.148491139,0.086808824,-0.290642606,-0.004979499
dens,nbampbother,NA,treatun,0.359905077,0.086778551,0.214993277,0.499603242
dens,nbampbother,NA,treatus,-0.77469668,0.08768093,-0.918981659,-0.632898961
dens,nbajpbhost,NA,treatbc,0.027867737,0.164048423,-0.229278394,0.29951593
dens,nbajpbhost,NA,treatbn,0.063883373,0.16077978,-0.192224243,0.320410419
dens,nbajpbhost,NA,treatbs,-0.120548901,0.18636248,-0.421509636,0.186237451
dens,nbajpbhost,NA,treatuc,-0.154017715,0.159894805,-0.40937315,0.105961673
dens,nbajpbhost,NA,treatun,0.093755846,0.158863322,-0.165858967,0.344094185
dens,nbajpbhost,NA,treatus,-0.136245654,0.164329459,-0.400722149,0.134286395
dens,nbajpbother,NA,treatbc,-0.50224215,0.099021828,-0.659866272,-0.336975307
dens,nbajpbother,NA,treatbn,0.303952764,0.095832862,0.149952769,0.461228302
dens,nbajpbother,NA,treatbs,-1.190348273,0.116473593,-1.383386641,-1.001883898
dens,nbajpbother,NA,treatuc,-0.033654661,0.094276526,-0.184590646,0.125700012
dens,nbajpbother,NA,treatun,0.313723745,0.096194722,0.149657562,0.463374187
dens,nbajpbother,NA,treatus,-0.701600358,0.096963213,-0.861561941,-0.54458805
beetle,feng,NA,burned:abma,1.212033326,0.563057614,0.295722923,2.137139059
beetle,feng,NA,abma:growth_z,-0.214775963,0.194078816,-0.534921728,0.10974911
beetle,feng,NA,abma:dbh,-0.189982006,0.107320662,-0.365482221,-0.012507298
