"plot","cade","abma","abco","pije","pila","abma_abco","pije_pila","species","treat","burned","dmort","dbh_s","growth_z","n_size1_s","n_lg_s","f_eng","p_mpb","p_jpb","p_rtb","nba_eng_hs","nba_eng_ns","nba_rtb_hs","nba_rtb_ns","nba_mpb_hs","nba_mpb_ns","nba_jpb_hs","nba_jpb_ns","twi_s","srad_s","p_rtbmpb","p_rtbjpb"
"uc1",0,0,0,0,1,0,1,"pila","uc",0,0,2.09203201892198,0.2683095,-0.883603437738295,-2.310302932718,0,0,0,0,-1.26629104420362,-1.59166647582598,-0.999802685644583,-1.8673377268055,-0.819107301294472,-2.14900196363814,-0.461223196874152,-2.14311094926434,0.746241354572264,-1.16529422048418,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.148287448585536,0.35048,1.52158191412969,0.548063991363876,0,0,0,0,0.654526985984765,1.08457904712608,1.47757917889441,0.507458179387907,1.76799402913315,0.451116937506658,-0.461223196874152,0.877593743538213,0.118825933679988,-1.01706057875688,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.953398650219436,-0.8015009,1.28370784872306,0.321630512532965,0,0,0,0,0.215301075143804,0.606522674097838,1.03504571975907,-0.035577068389775,-0.819107301294472,0.253169519148652,2.36394765137091,-0.219360994522075,-0.156708713889231,-0.804773992388225,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.539367415609512,-0.8171593,1.1120182625582,0.0538165501360088,0,0,0,0,0.361937711465068,0.606522674097838,1.03504571975907,0.1457165670097,-0.819107301294472,0.368813695374085,2.36394765137091,-0.0289629633751219,0.381874495513383,-0.800854583843653,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,0.184466562460988,0.4962438,1.88403011949607,-0.273961249218371,0,0,0,0,0.146649590657351,0.606522674097838,1.03504571975907,-0.120454064414505,-0.819107301294472,0.204119132017033,2.36394765137091,-0.308500433406222,0.0231712857053371,-0.927301721060549,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.817503340416631,-0.40471,1.85265402557463,0.0538165501360088,0,0,0,0,0.195141961827496,0.606522674097838,1.03504571975907,-0.0605007097882068,-0.819107301294472,0.238425320830502,2.36394765137091,-0.245536277734957,-0.0174431172027138,-0.932808269752324,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,0.0655869027591286,0.3872228,1.71748501211959,0.321630512532965,0,0,0,0,0.23380040234882,1.08457904712608,1.47757917889441,-0.0127054970991325,1.76799402913315,-0.118400385390719,-0.461223196874152,0.69605742774872,0.386847102649323,-1.08155739322691,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.503323549250782,-0.2646724,1.60412171924017,0.744209592531443,0,0,0,0,0.267074210292264,1.08457904712608,1.47757917889441,0.028432446030132,1.76799402913315,-0.0733592333465947,-0.461223196874152,0.706774940466571,0.713241055787789,-1.10331211452664,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.368924624767923,-0.4582441,1.68096443940977,0.548063991363876,0,0,0,0,0.242346829199688,1.08457904712608,1.47757917889441,-0.00213915547850956,1.76799402913315,-0.106831498779417,-0.461223196874152,0.698757450229096,0.347130913021575,-1.07038474345887,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-0.711958751733358,-0.4498812,1.68096443940977,0.321630512532965,1,0,0,0,0.258396211123698,-1.59166647582598,-0.999802685644583,0.0177034354858915,-0.819107301294472,-0.0851062230705991,-0.461223196874152,-0.163404793886066,0.4164515497289,-1.04126776385546,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.638383441269919,-0.0679711,1.78711879011546,0.321630512532965,0,0,0,0,0.281714935913298,-1.59166647582598,-0.999802685644583,0.0465334502492162,-0.819107301294472,-0.0535407878637643,-0.461223196874152,-0.133126962914342,0.598245296201629,-0.988933666963439,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.65523740768926,-0.574668,1.68096443940977,0.321630512532965,1,0,0,0,0.280553924364527,-1.59166647582602,-0.999802685644583,0.0450980381332683,-0.819107301294472,-0.0551123933073626,-0.461223196874152,-0.134634460075833,0.507412932179428,-1.02826103990258,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,0.0293828180466321,0.293061,1.71748501211959,0.0538165501360088,0,0,0,0,0.23020588809566,-1.59166647582598,-0.999802685644583,-0.0171495608256277,-0.819107301294472,-0.123266106298784,-0.461223196874152,-0.20000807487088,0.461640628976421,-1.0189831405032,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.836015792472364,-0.2955576,1.75284600359242,0.321630512532965,0,0,0,0,0.281884388914666,-1.59166647582598,-0.999802685644583,0.0467429528088642,-0.819107301294472,-0.0533114074931151,-0.461223196874152,-0.13290693933332,0.551630704792528,-0.993432542509816,0,0
